ที่,รหัสสายทาง,อำเภอ,ชื่อสายทาง,ระยะทางรวม (กม.),ปีงบประมาณ 2561,,,ปีงบประมาณ 2562,,,ปีงบประมาณ 2563,,,,,,,,
,,,,,ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",สามารถใช้การได้ (กม.),ต้องได้รับการซ่อมแซม (กม.),ค่าพิกัดจุดเริ่มต้นสายทาง,ด่วพิกัดจุดสิ้นสุดสายทาง,ลิงค์ google map,
41,อบจ.นม.05302,บ้านเหลื่อม,บ.หนองม่วงช่างพิมพ์ - บ.หนองพลวง,3.093,  -   ,  -   ,  0.114 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.160 ,  -   ,  2.819 ,"15.571413,102.241430","15.593375,102.252994",คลิกที่นี้,
42,อบจ.นม.05503,บ้านเหลื่อม,บ.วังแร่ - บ.ดอนเปล้า,3.750,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.750 ,"15.597584,102.111729","15.603479,102.083590",คลิกที่นี้,
43,อบจ.นม.06201,จักราช,บ.หินโคน - บ.หนองขาม,6.490,  -   ,  -   ,  3.680 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.810 ,"15.000636,102.498958","14.943384,102.495239",คลิกที่นี้,
44,อบจ.นม.06202,จักราช,บ.หนองขาม - คลองเมือง,2.970,  -   ,  -   ,  1.920 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.050 ,"14.943214,102.495167","14.917581,102.498858",คลิกที่นี้,
45,อบจ.นม.06203,จักราช,"บ.โคกหนองโสน ม.2,3",7.290,  5.388 ,  -   ,  0.505 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.397 ,"14.889670,102.402128","14.883131,102.45061",คลิกที่นี้,
46,อบจ.นม.07301,โชคชัย,บ.โคกวังวน - บ.ขี้ตุ่น,3.515,  -   ,  -   ,  0.500 ,  -   ,  -   ,  -   ,  0.360 ,  -   ,  -   ,  -   ,  2.655 ,"14.900546,102.225023","14.919832,102.242701",คลิกที่นี้,
47,อบจ.นม.07202,โชคชัย,บ.ด่านเกวียน - บ.กอก,8.352,  -   ,  -   ,  0.510 ,  -   ,  -   ,  -   ,  3.170 ,  -   ,  -   ,  -   ,  4.672 ,"14.846415,102.200247","14.899130,102.225829",คลิกที่นี้,
48,อบจ.นม.07203,โชคชัย,บ.หนองหญ้าปล้อง - บ.กุดจอกน้อย,4.000,  -   ,  -   ,  0.500 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.500 ,"14.854295,102.223334","14.820632,102.224969",คลิกที่นี้,
49,อบจ.นม.07305,โชคชัย,บ.ด่านเกวียน - บ.กุดจอกใหญ่,1.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.000 ,"14.811765,102.222091","14.820713,102.223180",คลิกที่นี้,
50,อบจ.นม.07306,โชคชัย,แยกทางหลวง 2017 - บ.หนองทองคำ,7.300,  -   ,  -   ,  0.680 ,  -   ,  -   ,  -   ,  0.315 ,  -   ,  -   ,  -   ,  6.305 ,"14.589223,102.185052","14.645367,102.172357",คลิกที่นี้,
51,อบจ.นม.07207,โชคชัย,ทางหลวงหมายเลข 224 - บ.คลองกลาง,0.500,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.323 ,  -   ,  -   ,  -   ,  0.177 ,"14.759565,102.163163","14.761398,102.158556",คลิกที่นี้,
52,อบจ.นม.07208,โชคชัย,บ.ปอพราน - บ.หัวสะพาน,3.700,  -   ,  -   ,  0.130 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.570 ,"14.665732,102.188000","14.645763,102.172293",คลิกที่นี้,
53,อบจ.นม.08201,ด่านขุนทด,บ.แปรง - บ.หนองกราด,12.766,  -   ,  -   ,  0.645 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.245 ,  -   ,  10.876 ,"15.335097,101.820843","15.357214,101.721262",คลิกที่นี้,
54,อบจ.นม.08202,ด่านขุนทด,บ.โกรกลึก - บ.ค่ายทะยิง,5.500,  -   ,  -   ,  0.640 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.860 ,"15.084616,101.716729","15.071232,101.676335",คลิกที่นี้,
55,อบจ.นม.08303,ด่านขุนทด,บ.ละเลิงพิมาน - บ.กุดม่วง,17.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7.400 ,  9.600 ," 15.141410,101.846355"," 15.163284,101.738452",คลิกที่นี้,
56,อบจ.นม.08304,ด่านขุนทด,บ.ด่านนอก - บ.วัง,8.940,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.200 ,  5.740 ," 15.149446,101.846374"," 15.139782,101.918179",คลิกที่นี้,
57,อบจ.นม.08305,ด่านขุนทด,บ.ห้วย - บ.หนองบัวละคร,0.747,  -   ,  -   ,  0.480 ,  -   ,  -   ,  -   ,  0.310 ,  -   ,  -   ,  -   ,  -   ," 15.245591,101.788265"," 15.247132,101.800709",คลิกที่นี้,
58,อบจ.นม.08306,ด่านขุนทด,บ.ตะเคียนใหญ่ - บ.ปราสาท,15.196,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.055 ,  -   ,  -   ,  -   ,  13.141 ," 15.132441,101.698420"," 15.159558,101.601684",คลิกที่นี้,
59,อบจ.นม.08307,ด่านขุนทด,บ.ด่านขุนทด - บ.โนนเต็ง,0.600,  -   ,  -   ,  0.132 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.468 ," 15.207493,101.766214"," 15.210870,101.749044",คลิกที่นี้,
60,อบจ.นม.08309,ด่านขุนทด,ต่อเขต อบต.ตะเคียนควบคุม ท่าขี้เหล็ก,5.478,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.478 ," 15.129102,101.659670"," 15.169150,101.641120",คลิกที่นี้,
61,อบจ.นม.09301,โนนไทย,บ.หนองกระสังข์ - บ.โนนตากลาง,12.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  12.000 ," 15.139971,102.105538"," 15.150233,102.163426",คลิกที่นี้,
62,อบจ.นม.09202,โนนไทย,ตลาดโคกสวาย - บ.หนองหอย,3.500,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.300 ,  1.200 ," 15.267142,102.021124"," 15.295049,102.035518",คลิกที่นี้,
63,อบจ.นม.09203,โนนไทย,บ.สายออ - บ.ตลุกชั่งโค,1.500,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.500 ," 15.262625 ,102.050865"," 15.274202,102.059523",คลิกที่นี้,
64,อบจ.นม.09304,โนนไทย,บ.มะค่า - บ.โตนด,10.485,  -   ,  -   ,  0.470 ,  -   ,  -   ,  -   ,  2.515 ,  -   ,  0.325 ,  -   ,  7.175 ," 15.234409,102.094256","15.269554,102.092145",คลิกที่นี้,
